Time,Rint_veg (W m-2),Rint_soil (W m-2),Rint_dir(W m-2),Rint_dif (W m-2),Tleaf_sunlit(C),Tleaf_shade(C),Tcanopy,Ep (l h-1),VPD (kPa),Pstem (kPa),Pleaf_sun (kPa),Pleaf_shade (kPa),Gc (mol m-2 s-1),Gs_sun (mol m-2 s-1),Gs_shade (mol m-2 s-1),Pn (micromol plant-1 s-1),Lp mean (kg m-2 s-1 kPa-1),totalFlux (kg m-2 s-1)
2019-06-26 00:00:00,0.0,0.0,0.0,0.0,24.36460934752166,24.36460934752166,24.36460934752166,0.09530079050853735,1.2828691970681294,-1221004.3199022317,-1221004.3199022317,-1221004.3199022317,0.004,0.0,0.004,0.0,3.09e-10,5.882764846206009e-06
2019-06-26 01:00:00,0.0,0.0,0.0,0.0,24.36460934752166,24.36460934752166,24.36460934752166,0.09530079050853735,1.2828691970681294,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,5.882764846206008e-06
2019-06-26 02:00:00,0.0,0.0,0.0,0.0,24.160711590921977,24.160711590921977,24.160711590921977,0.103133374764425,1.388305689480214,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,6.366257701507715e-06
2019-06-26 03:00:00,0.0,0.0,0.0,0.0,23.65704956547576,23.65704956547576,23.65704956547576,0.10660768641380236,1.4350743193333098,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,6.580721383568047e-06
2019-06-26 04:00:00,0.0,0.0,0.0,0.0,22.957076961391483,22.957076961391483,22.957076961391483,0.10636800739916893,1.4318479365990624,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,6.565926382664748e-06
2019-06-26 05:00:00,0.0,0.0,0.0,0.0,22.75700278760648,22.75700278760648,22.75700278760648,0.11538986688861479,1.5532935781045234,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,7.1228312894206655e-06
2019-06-26 06:00:00,0.0,0.0,0.0,0.0,24.350121013144783,24.350121013144783,24.350121013144783,0.14522025220348544,1.9548483002942922,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,8.964213098980584e-06
2019-06-26 07:00:00,0.0,0.0,0.0,0.0,26.141118117169643,26.141118117169643,26.141118117169643,0.16668355518041955,2.2437715097401028,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.028910834447034e-05
2019-06-26 08:00:00,353.34848324447205,13.592430013016761,159.51108589111476,48.55142607131144,35.632362728149054,30.06627568727725,30.422922573493732,0.12054366278171383,2.6451984966724305,-inf,-inf,-inf,0.004000024964657741,0.00400014179895393,0.004000016965988651,22.03546525226035,3.09e-10,7.440966838377395e-06
2019-06-26 09:00:00,512.1449437847242,10.089472832418178,245.4044263768644,41.053894403200395,39.590910002758854,31.427209873636567,32.59006342480602,0.14282431186032135,3.003719579679658,-inf,-inf,-inf,0.004000009967934617,0.004000049919360111,0.00400000333192903,20.976000157722183,3.09e-10,8.81631554693342e-06
2019-06-26 10:00:00,648.3714529525867,9.998377056009135,315.07712937313363,40.50870931473495,43.99346450934046,33.04800709689531,35.26310435059826,0.17434252467137765,3.337643124177231,-inf,-inf,-inf,0.004,0.004,0.004,20.27285161254307,3.09e-10,1.0761884238973926e-05
2019-06-26 11:00:00,738.3752827646426,11.12580292488057,360.7358327583823,40.95898324378144,48.63171715761115,34.07270031960424,37.56409484236497,0.20325607725055242,3.344465899210512,-inf,-inf,-inf,0.004,0.004,0.004,19.292050927453374,3.09e-10,1.2546671435219284e-05
2019-06-26 12:00:00,799.7308283476873,12.329735946503115,391.44408838841537,42.612868167816764,46.97882646694522,35.12585721881628,38.138898423830426,0.21464743054716678,3.936753148372435,-inf,-inf,-inf,0.004,0.004,0.004,19.17427080904228,3.09e-10,1.3249841391800421e-05
2019-06-26 13:00:00,806.2624815978569,12.238859918545057,394.2124648413549,43.96417007557188,47.69075307304998,35.7607116350404,38.69341666668852,0.22084121743250504,4.070441850664985,-inf,-inf,-inf,0.004,0.004,0.004,18.88099106507839,3.09e-10,1.3632173915586731e-05
2019-06-26 14:00:00,756.9777533164024,11.44098869709783,368.5375572349052,45.39571285531728,47.50888061615813,36.03896247162032,38.49914819304436,0.21370250331655197,4.060253298311109,-inf,-inf,-inf,0.004,0.004,0.004,18.869778302086544,3.09e-10,1.3191512550404442e-05
2019-06-26 15:00:00,640.8273272211578,11.476787095946754,308.7440990010621,47.242434391711996,45.71090059396965,36.09422520727919,37.635569733553474,0.2001069355524174,4.115873206507151,-inf,-inf,-inf,0.004,0.004,0.004,19.137579277515563,3.09e-10,1.2352279972371444e-05
2019-06-26 16:00:00,486.1773825615595,14.689298081176403,225.19276595831903,55.167340224859856,43.200403565823194,36.31058853986868,36.90415144326865,0.18932913849905006,4.1714931147031935,-inf,-inf,-inf,0.004,0.004,0.004,19.86506854667427,3.09e-10,1.1686983857966054e-05
2019-06-26 17:00:00,0.0,0.0,0.0,0.0,34.30483798336327,34.30483798336327,34.30483798336327,0.3071214280153959,4.134242933957959,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.8958112840456536e-05
2019-06-26 18:00:00,0.0,0.0,0.0,0.0,33.309824032993745,33.309824032993745,33.309824032993745,0.2904473226551296,3.90978838283398,-inf,-inf,-inf,0.004,0.0,0.004,0.0,3.09e-10,1.7928847077477133e-05
